#R	NextCycle	NE(tau)	NEfresh(tau)	NI(tau)	NIfresh(tau)
1	0	10	10	4	4
2	0	9	9	2	2
3	0	2	2	3	3
4	1	107	105	25	24
5	1	13	13	2	2
6	1	5	5	1	1
7	1	498	473	127	123
8	1	57	57	14	14
9	1	12	12	1	1
10	1	45	44	12	12
11	1	105	100	28	27
12	1	15	15	5	5
13	0	1	1	0	0
14	0	6	5	0	0
15	1	9	9	2	2
16	1	30	30	5	5
17	1	19	18	9	9
18	1	15	12	3	3
19	1	109	100	33	29
20	1	67	66	12	11
21	0	1	1	0	0
22	0	3	3	3	3
23	1	69	63	15	13
24	1	37	34	5	5
25	1	32	30	10	10
26	1	32	28	7	6
27	0	3	3	1	1
28	0	5	5	2	1
29	0	0	0	0	0
30	1	11	11	6	6
31	1	25	20	5	5
32	1	77	77	22	21
33	0	0	0	0	0
34	0	3	2	0	0
35	0	4	4	0	0
36	1	23	22	1	1
37	1	24	23	6	6
38	0	2	2	0	0
39	1	35	35	3	3
40	1	10	10	1	1
41	0	0	0	0	0
42	1	26	24	5	4
43	0	2	1	0	0
44	0	0	0	0	0
45	1	37	35	6	6
46	1	120	117	41	38
47	0	1	1	0	0
48	1	36	36	4	3
49	0	6	5	3	2
50	1	23	21	6	5
51	1	52	48	19	17
52	1	27	26	3	2
53	1	108	92	27	25
54	0	0	0	0	0
55	0	1	0	0	0
56	1	18	18	6	6
57	1	60	59	17	14
58	0	1	1	0	0
59	0	11	11	6	5
60	1	45	43	18	16
61	0	8	8	5	5
62	1	55	52	8	7
63	1	269	247	83	78
64	1	28	28	4	3
65	1	352	336	81	77
66	1	17	15	2	1
67	0	7	7	2	2
68	0	1	1	0	0
69	1	141	136	28	28
70	0	4	4	1	1
71	0	0	0	0	0
72	0	8	8	1	1
73	1	67	62	19	18
74	0	4	4	2	2
75	1	15	14	7	7
76	1	268	253	66	61
77	1	58	55	9	7
78	1	41	40	16	16
79	1	19	18	6	6
80	1	53	48	11	11
81	0	2	2	0	0
82	1	24	23	4	4
83	0	5	4	1	1
84	0	0	0	0	0
85	0	2	2	1	1
86	1	7	7	1	1
87	1	15	14	3	3
88	0	7	7	2	2
89	0	9	9	7	7
90	0	7	7	3	3
91	0	0	0	0	0
92	1	25	24	8	6
93	0	2	2	1	1
94	1	41	36	12	8
95	1	10	9	1	1
96	1	6	6	2	2
97	1	40	35	7	7
98	1	12	12	1	1
99	1	235	215	39	35
100	0	4	3	0	0
101	0	7	7	4	4
102	1	10	10	2	2
103	1	6	6	7	5
